uni,rek,dek,zav,prof
"КНУ театру, кіно і телебачення",18270,5795,8409,6011
Прикарпатський національний ун.,18243,5346,6249,4404
Глухівський національний педагогічний ун. ,11999,5819,6239,3792
Кіровоградський національний технічний ун.,13301,6987,6064,4042
Львівський національний аграрний ун.,9586,6770,5693,3811
Національний ун. кораблебудування,26306,5381,8448,3768
Харківський національний ун. радіоелектроніки,6984,6261,5980,3087
Київський національний ун. ім Шевченка,19169,13823,12519,8555
Харківський національний економічний ун.,9586,5861,6087,3889
Тернопільський національний педагогічний ун.,24742,6994,7810,4543
Хмельницький національний ун.,9585,5782,6046,4125
Полтавський національний педагогічний ун.,9585,8099,6730,4151
Національний ун. харчових технологій,12517,7115,7165,4789
Південноукраїнський педагогічний ун.,17015,7150,6518,4106
Миколаївський національний аграрний ун.,9585,4174,5718,3613
Уманський національний ун. садівництва,8842,5452,5931,4049
Тернопільський національний технічний ун.,12742,6331,6107,4138
"Національний ун. ""Острозька академія""",23999,5299,5346,3528
Херсонський національний технічний ун.,18242,4955,4765,3621
Одеська академія харчових технологій,7728,5773,4339,4213
Київський політехнічний інститут,18269,12310,13124,8046
Львівська національна академія мистецтв,11815,5647,5449,3627
Київський національний економічний ун.,20286,6219,5698,4078
Ужгородський національний ун.,13671,6191,6429,4038
Запорізький національний технічний ун.,9585,5802,5715,3967
Харківський національний ун. мистецтв,13671,5631,6303,3836
Львівська національна музична академія,11814,1020,6317,4483
Національна музична академія ім Чайковського,18270,8691,8390,5703
Одеський національний морський ун.,21025,5403,6134,3749
Національний лісотехнічний ун.,19169,5611,6284,4756
Одеська національна морська академія,18428,5494,5725,4894
Миколаївський націоанальний ун.,12371,6326,6286,3678
Національна металургійна академія,15714,5871,6240,4348
Криворізький національний ун.,10700,6124,5821,4021
Харківський політехнічний інститут,20841,6447,6099,4159
Дніпропетровський ун. транспорту,20284,7506,5696,3906
Тернопільський економічний ун. ,18242,6240,7416,3836
Харківський національний ун. ім Каразіна,24742,6321,6487,3942
